OBJECTID,Precinct,TownshipName,TownshipCode,PrecinctName,PrecinctID,Label,PollingID,Format,LastEditor,LastUpdate,Notes,ShapeSTArea,ShapeSTLength
274,50075,Milton,5,Milton 75,5-75,75,953,Portrait,"GIS-RLS, ED Guidance",2024-08-21T00:00:00Z,,12381998.053214716,14916.815770746678
275,50076,Milton,5,Milton 76,5-76,76,834,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,13079968.644656908,16707.298787441276
276,50078,Milton,5,Milton 78,5-78,78,117,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,31510713.188107334,23265.08866260897
277,50072,Milton,5,Milton 72,5-72,72,372,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,11310297.673831679,15992.508738014736
278,50041,Milton,5,Milton 41,5-41,41,925,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,6474917.136014101,11012.482997304298
279,50040,Milton,5,Milton 40,5-40,40,445,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,6390359.018079684,12451.651036722862
280,50047,Milton,5,Milton 47,5-47,47,100,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,16648643.387621528,24720.268163151286
281,50058,Milton,5,Milton 58,5-58,58,100,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,9259492.289046533,16901.38582418802
282,50037,Milton,5,Milton 37,5-37,37,118,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,14163367.133130748,17998.03603978501
283,50050,Milton,5,Milton 50,5-50,50,521,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7407810.311390353,11103.112558444349
284,50064,Milton,5,Milton 64,5-64,64,372,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7600360.023704674,11814.950995280376
285,50008,Milton,5,Milton 8,5-8,8,370,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,8918157.236662367,18569.715287992178
286,50009,Milton,5,Milton 9,5-9,9,809,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,17981134.119222887,21668.40212594541
287,50006,Milton,5,Milton 6,5-6,6,809,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,14033410.287014455,18570.036701013087
288,50035,Milton,5,Milton 35,5-35,35,420,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,19143167.65900453,22373.88365751444
289,50045,Milton,5,Milton 45,5-45,45,420,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,16843183.920307387,19044.57335594603
290,50046,Milton,5,Milton 46,5-46,46,420,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,8245404.279376197,13781.741067133335
291,50056,Milton,5,Milton 56,5-56,56,834,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,12458538.991904408,17270.242551940115
292,50068,Milton,5,Milton 68,5-68,68,239,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,13931802.285062661,20987.81138300918
293,50027,Milton,5,Milton 27,5-27,27,76,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,4643689.77005437,10420.979945269883
294,50026,Milton,5,Milton 26,5-26,26,76,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,8025174.8165774755,11539.140522336862
295,50024,Milton,5,Milton 24,5-24,24,161,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,10666354.249720097,16156.185311856956
296,50001,Milton,5,Milton 1,5-1,1,383,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,12915885.156532003,16432.51875980792
297,50002,Milton,5,Milton 2,5-2,2,715,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,20257987.795393378,21766.67714143624
298,50003,Milton,5,Milton 3,5-3,3,715,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,17866278.82971719,21362.152721858663
299,50005,Milton,5,Milton 5,5-5,5,370,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,6136111.66084948,10303.423201904083
300,50010,Milton,5,Milton 10,5-10,10,375,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,29598543.80920515,25552.451614882742
301,50011,Milton,5,Milton 11,5-11,11,375,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,9246166.49167686,17600.457878991492
302,50073,Milton,5,Milton 73,5-73,73,190,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7360574.247530854,12777.919072631998
303,50081,Milton,5,Milton 81,5-81,81,918,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,53443921.219481334,32773.78562421875
304,50049,Milton,5,Milton 49,5-49,49,445,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,4358291.848683942,9375.602660912526
305,50070,Milton,5,Milton 70,5-70,70,239,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,9320028.085950857,15299.389966456813
306,50012,Milton,5,Milton 12,5-12,12,383,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,11516554.820189876,18455.59781021544
307,50030,Milton,5,Milton 30,5-30,30,86,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,8783045.988781385,13239.897145070478
308,50060,Milton,5,Milton 60,5-60,60,43,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,23507786.5872337,20010.844414198244
309,50044,Milton,5,Milton 44,5-44,44,152,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,8720508.768669333,12504.246535381677
310,50052,Milton,5,Milton 52,5-52,52,486,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,4785878.45254601,9987.053088210596
311,50065,Milton,5,Milton 65,5-65,65,190,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,12797570.036748184,16664.06915060108
312,60077,York,6,York 77,6-77,77,57,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,34564401.65152058,26608.946088095607
313,60086,York,6,York 86,6-86,86,734,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,15570990.47919352,16957.420931544286
314,60062,York,6,York 62,6-62,62,363,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,3566754.5411933153,9189.974344926211
315,60069,York,6,York 69,6-69,69,923,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,8498257.558646174,14453.015443216116
316,60063,York,6,York 63,6-63,63,363,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,2453286.759433632,6203.845146285696
317,60037,York,6,York 37,6-37,37,810,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7711151.726250604,11340.728639342522
318,60036,York,6,York 36,6-36,36,810,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7164342.2357631605,13392.310211119759
319,60051,York,6,York 51,6-51,51,549,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,5800935.78475,10541.805261093434
320,60033,York,6,York 33,6-33,33,238,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,6980232.676690026,10670.136239189642
321,60058,York,6,York 58,6-58,58,74,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,9317622.455004437,18261.154444338783
322,60050,York,6,York 50,6-50,50,74,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,6979942.1413869485,11911.246991824224
323,60056,York,6,York 56,6-56,56,280,Portrait,"GIS-RLS, ED Guidance",2024-08-21T00:00:00Z,,10844019.629062328,18974.11594091619
324,60048,York,6,York 48,6-48,48,258,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,11839997.954230083,17955.88634034292
325,60053,York,6,York 53,6-53,53,453,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,13662203.163071364,16438.78654663785
326,60017,York,6,York 17,6-17,17,937,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,10937168.399664834,17906.184644048477
327,60018,York,6,York 18,6-18,18,924,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,12911085.751148958,17437.916526602065
328,60025,York,6,York 25,6-25,25,810,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,9069322.129269479,14554.567303368878
329,60038,York,6,York 38,6-38,38,484,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,8761648.542746788,14107.415833639208
330,60040,York,6,York 40,6-40,40,140,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7752476.34430598,11322.48178347525
331,60042,York,6,York 42,6-42,42,140,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,6095664.263139727,12164.302096954529
332,60003,York,6,York 3,6-3,3,297,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,6266524.194819693,10029.706054386681
333,60019,York,6,York 19,6-19,19,924,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7949664.118677253,12200.961154454244
334,60010,York,6,York 10,6-10,10,129,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,4959531.261029146,9020.147189344098
335,60011,York,6,York 11,6-11,11,129,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,6338104.376689299,10778.501469970954
336,60082,York,6,York 82,6-82,82,356,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,11857888.191186974,19598.513152789954
337,60030,York,6,York 30,6-30,30,397,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,6241277.825026533,10025.36917239488
